"FFMC","ROS"
0,2.01198381944575e-13
0.1,1.05125050615724e-12
0.2,1.1814866480007e-12
0.3,1.32726261830226e-12
0.4,1.49036400640687e-12
0.5,1.67276547025588e-12
0.6,1.87666497066597e-12
0.7,2.10449633145924e-12
0.8,2.35895732559585e-12
0.9,2.64303434899032e-12
1,2.96005008516941e-12
1.1,3.31365711767718e-12
1.2,3.70792725285202e-12
1.3,4.14733813725321e-12
1.4,4.63685742341929e-12
1.5,5.18197595540237e-12
1.6,5.78874695496895e-12
1.7,6.46387011654826e-12
1.8,7.21473205696628e-12
1.9,8.04948489884313e-12
2,8.97713059959966e-12
2.1,1.00075859379155e-11
2.2,1.11517737501218e-11
2.3,1.24217409811205e-11
2.4,1.38307520189082e-11
2.5,1.53934068270657e-11
2.6,1.7125772905345e-11
2.7,1.90455140351931e-11
2.8,2.11720709304529e-11
2.9,2.35268048008907e-11
3,2.61331824664199e-11
3.1,2.90169685702984e-11
3.2,3.22064683003948e-11
3.3,3.57327407252632e-11
3.4,3.96298536516192e-11
3.5,4.39351599609556e-11
3.6,4.86896253268069e-11
3.7,5.39381350972802e-11
3.8,5.97298400974657e-11
3.9,6.61185891209741e-11
4,7.31633131117718e-11
4.1,8.09284822626898e-11
4.2,8.94846295246828e-11
4.3,9.89088871218062e-11
4.4,1.09285535340833e-10
4.5,1.20706676384012e-10
4.6,1.33272922824493e-10
4.7,1.47094092477634e-10
4.8,1.62290088535859e-10
4.9,1.78991690850051e-10
5,1.97341600747037e-10
5.1,2.17495361189596e-10
5.2,2.3962251183899e-10
5.3,2.63907798168495e-10
5.4,2.90552405934605e-10
5.5,3.19775429259441e-10
5.6,3.51815330848813e-10
5.7,3.86931568815855e-10
5.8,4.25406343072437e-10
5.9,4.67546546645546e-10
6,5.13685697764827e-10
6.1,5.64186283392461e-10
6.2,6.19441987650182e-10
6.3,6.79880327642671e-10
6.4,7.45965451919794e-10
6.5,8.18200920301288e-10
6.6,8.9713313637523e-10
6.7,9.83354583122546e-10
6.8,1.07750758962725e-09
6.9,1.18028836463839e-09
7,1.29245107866656e-09
7.1,1.41481268355489e-09
7.2,1.54825765848587e-09
7.3,1.69374335238647e-09
7.4,1.8523056420923e-09
7.5,2.02506513118838e-09
7.6,2.21323353823769e-09
7.7,2.41812082097168e-09
7.8,2.64114265234279e-09
7.9,2.88382833473191e-09
8,3.14782982117738e-09
8.1,3.4349305685219e-09
8.2,3.74705560036909e-09
8.3,4.08628216679473e-09
8.4,4.45485095633321e-09
8.5,4.85517848457992e-09
8.6,5.28986969939461e-09
8.7,5.7617322896634e-09
8.8,6.27379119586589e-09
8.9,6.82930481262638e-09
9,7.43178147186928e-09
9.1,8.08499814025536e-09
9.2,8.79301918288194e-09
9.3,9.56021737532987e-09
9.4,1.03912957693527e-08
9.5,1.12913112019335e-08
9.6,1.2265699401225e-08
9.7,1.332030168642e-08
9.8,1.44613931937413e-08
9.9,1.56957136295097e-08
10,1.70304993012917e-08
10.1,1.84735175385096e-08
10.2,2.00331034518723e-08
10.3,2.17181986925842e-08
10.4,2.35383933215324e-08
10.5,2.55039695979149e-08
10.6,2.76259490310789e-08
10.7,2.99161423910961e-08
10.8,3.23872023696583e-08
10.9,3.5052680536186e-08
11,3.79270866115554e-08
11.1,4.10259522580198e-08
11.2,4.43658987022743e-08
11.3,4.79647084412877e-08
11.4,5.18414005755265e-08
11.5,5.60163124829239e-08
11.6,6.05111843644929e-08
11.7,6.53492507170759e-08
11.8,7.05553357646989e-08
11.9,7.61559559182049e-08
12,8.21794270720667e-08
12.1,8.86559793389941e-08
12.2,9.56178779943822e-08
12.3,1.03099551152991e-07
12.4,1.11137726031229e-07
12.5,1.19771571605504e-07
12.6,1.29042850840812e-07
12.7,1.38996081035109e-07
12.8,1.49678702998086e-07
12.9,1.61141261137188e-07
13,1.73437591691353e-07
13.1,1.86625024052628e-07
13.2,2.00764590973847e-07
13.3,2.15921252641716e-07
13.4,2.32164131385375e-07
13.5,2.495667604645e-07
13.6,2.68207346682388e-07
13.7,2.88169046324467e-07
13.8,3.09540256822603e-07
13.9,3.32414925171858e-07
14,3.56892870617823e-07
14.1,3.8308012701826e-07
14.2,4.11089302425856e-07
14.3,4.41039957655544e-07
14.4,4.73059005460159e-07
14.5,5.07281130222148e-07
14.6,5.43849230755333e-07
14.7,5.82914883902806e-07
14.8,6.24638834582094e-07
14.9,6.69191509858034e-07
15,7.16753560367806e-07
15.1,7.67516428372158e-07
15.2,8.21682944838172e-07
15.3,8.79467958235647e-07
15.4,9.41098992089275e-07
15.5,1.00681694014504e-06
15.6,1.07687679027017e-06
15.7,1.15154838964309e-06
15.8,1.23111724486529e-06
15.9,1.31588536159922e-06
16,1.40617212653543e-06
16.1,1.50231523074205e-06
16.2,1.6046716387852e-06
16.3,1.71361860441344e-06
16.4,1.82955473430845e-06
16.5,1.95290110299393e-06
16.6,2.08410242121642e-06
16.7,2.2236282571693e-06
16.8,2.37197431877827e-06
16.9,2.52966379280685e-06
17,2.69724874666931e-06
17.1,2.87531159718513e-06
17.2,3.06446664354354e-06
17.3,3.26536167344944e-06
17.4,3.47867964050358e-06
17.5,3.70514041816381e-06
17.6,3.94550263316274e-06
17.7,4.20056558038342e-06
17.8,4.47117122199923e-06
17.9,4.75820628032829e-06
18,5.06260441405467e-06
18.1,5.38534849980189e-06
18.2,5.72747300521289e-06
18.3,6.0900664720299e-06
18.4,6.47427409759834e-06
18.5,6.88130043801577e-06
18.6,7.31241221693421e-06
18.7,7.76894126111103e-06
18.8,8.25228755383237e-06
18.9,8.7639224219643e-06
19,9.30539185227539e-06
19.1,9.87831994837641e-06
19.2,1.04844125287927e-05
19.3,1.11254608725887e-05
19.4,1.18033456227065e-05
19.5,1.25200408381851e-05
19.6,1.32776182239148e-05
19.7,1.40782515152642e-05
19.8,1.49242210520368e-05
19.9,1.58179185254687e-05
20,1.67618519134809e-05
20.1,1.77586506145995e-05
20.2,1.88110707793547e-05
20.3,1.99220008466916e-05
20.4,2.10944673001452e-05
20.5,2.23316406391645e-05
20.6,2.36368415837216e-05
20.7,2.50135475076115e-05
20.8,2.64653991226352e-05
20.9,2.79962074100387e-05
21,2.96099608065825e-05
21.1,3.13108326639149e-05
21.2,3.31031889800453e-05
21.3,3.49915964107106e-05
21.4,3.69808305783958e-05
21.5,3.90758846791148e-05
21.6,4.12819783993298e-05
21.7,4.36045671485992e-05
21.8,4.60493516283866e-05
21.9,4.86222877299702e-05
22,5.13295967861511e-05
22.1,5.41777761754137e-05
22.2,5.71736102993334e-05
22.3,6.03241819358683e-05
22.4,6.36368839771823e-05
22.5,6.71194315715003e-05
22.6,7.0779874676338e-05
22.7,7.46266110286195e-05
22.8,7.8668399553738e-05
22.9,8.29143742077423e-05
23,8.73740582898617e-05
23.1,9.20573792142164e-05
23.2,9.69746837592207e-05
23.3,0.000102136753820552
23.4,0.000107554822654654
23.5,0.000113240591651935
23.6,0.000119206247629642
23.7,0.000125464480679602
23.8,0.000132028502559848
23.9,0.000138912065668459
24,0.000146129482585809
24.1,0.000153695646232026
24.2,0.00016162605061999
24.3,0.000169936812240991
24.4,0.00017864469208529
24.5,0.000187767118320377
24.6,0.000197322209631785
24.7,0.000207328799255023
24.8,0.000217806459688807
24.9,0.000228775528137621
25,0.000240257132671847
25.1,0.00025227321912722
25.2,0.000264846578771678
25.3,0.000278000876728199
25.4,0.000291760681205987
25.5,0.000306151493511552
25.6,0.000321199778900453
25.7,0.000336932998241145
25.8,0.000353379640546435
25.9,0.000370569256361392
26,0.000388532492032179
26.1,0.000407301124864518
26.2,0.000426908099212408
26.3,0.000447387563474694
26.4,0.000468774908041555
26.5,0.000491106804203972
26.6,0.000514421244032623
26.7,0.000538757581235873
26.8,0.000564156573049149
26.9,0.000590660423112825
27,0.000618312825401476
27.1,0.000647159009211911
27.2,0.000677245785187518
27.3,0.000708621592445625
27.4,0.000741336546791975
27.5,0.000775442490043831
27.6,0.000810993040464372
27.7,0.000848043644346253
27.8,0.00088665162873793
27.9,0.000926876255341848
28,0.000968778775560353
28.1,0.00101242248676022
28.2,0.00105787278972983
28.3,0.00110519724733293
28.4,0.00115446564439783
28.5,0.00120575004884471
28.6,0.00125912487404919
28.7,0.00131466694246827
28.8,0.00137245555052162
28.9,0.00143257253475302
29,0.00149510233927879
29.1,0.00156013208452508
29.2,0.00162775163725384
29.3,0.00169805368190165
29.4,0.00177113379322893
29.5,0.00184709051028673
29.6,0.00192602541171234
29.7,0.00200804319232699
29.8,0.00209325174108749
29.9,0.00218176222035548
30,0.00227368914651297
30.1,0.00236915047188741
30.2,0.00246826766804
30.3,0.00257116581037235
30.4,0.00267797366405666
30.5,0.00278882377131176
30.6,0.00290385253998959
30.7,0.00302320033349859
30.8,0.00314701156200862
30.9,0.00327543477500597
31,0.00340862275510104
31.1,0.00354673261317491
31.2,0.00368992588474319
31.3,0.00383836862766558
31.4,0.00399223152101751
31.5,0.00415168996527571
31.6,0.00431692418371196
31.7,0.00448811932494115
31.8,0.0046654655667423
31.9,0.00484915822097937
32,0.00503939783969659
32.1,0.00523639032234705
32.2,0.00544034702410775
32.3,0.00565148486526136
32.4,0.00587002644164759
32.5,0.00609620013612833
32.6,0.00633024023101926
32.7,0.00657238702149404
32.8,0.00682288692991179
32.9,0.00708199262103198
33,0.00734996311805831
33.1,0.00762706391950698
33.2,0.00791356711685569
33.3,0.00820975151286941
33.4,0.00851590274069579
33.5,0.00883231338347172
33.6,0.00915928309464085
33.7,0.0094971187187045
33.8,0.00984613441252888
33.9,0.0102066517670282
34,0.0105789999292704
34.1,0.0109635157248374
34.2,0.0113605437804749
34.3,0.0117704366469546
34.4,0.0121935549220095
34.5,0.012630267373365
34.6,0.0130809510617619
34.7,0.0135459914638811
34.8,0.014025782595126
34.9,0.0145207271321849
35,0.0150312365353034
35.1,0.0155577311701226
35.2,0.0161006404291101
35.3,0.0166604028524122
35.4,0.0172374662480852
35.5,0.0178322878116049
35.6,0.0184453342445669
35.7,0.0190770818724928
35.8,0.0197280167615967
35.9,0.0203986348345351
36,0.0210894419849351
36.1,0.0218009541905798
36.2,0.0225336976252999
36.3,0.0232882087692912
36.4,0.0240650345178625
36.5,0.0248647322884735
36.6,0.0256878701259661
36.7,0.026535026805801
36.8,0.0274067919353372
36.9,0.0283037660528886
37,0.0292265607245243
37.1,0.0301757986384563
37.2,0.0311521136969131
37.3,0.0321561511053655
37.4,0.033188567459036
37.5,0.0342500308264137
37.6,0.0353412208298119
37.7,0.0364628287227978
37.8,0.0376155574642837
37.9,0.0388001217892308
38,0.0400172482758273
38.1,0.0412676754089216
38.2,0.0425521536397216
38.3,0.0438714454414378
38.4,0.0452263253609762
38.5,0.0466175800662222
38.6,0.0480460083891293
38.7,0.0495124213641296
38.8,0.0510176422620265
38.9,0.0525625066190432
39,0.0541478622608571
39.1,0.0557745693217016
39.2,0.0574435002581016
39.3,0.059155539857313
39.4,0.0609115852402483
39.5,0.0627125458587301
39.6,0.0645593434869056
39.7,0.0664529122068152
39.8,0.06839419838776
39.9,0.0703841606595062
40,0.0724237698791283
40.1,0.0745140090912475
40.2,0.0766558734817297
40.3,0.0788503703245186
40.4,0.0810985189215202
40.5,0.0834013505354452
40.6,0.0857599083154703
40.7,0.0881752472154635
40.8,0.0906484339048077
40.9,0.093180546671596
41,0.0957726753180786
41.1,0.0984259210482289
41.2,0.101141396347301
41.3,0.103920224853324
41.4,0.106763541220336
41.5,0.109672490973208
41.6,0.112648230354037
41.7,0.11569192615997
41.8,0.118804755572287
41.9,0.121987905976692
42,0.12524257477473
42.1,0.128569969186144
42.2,0.131971306042189
42.3,0.135447811569643
42.4,0.139000721165743
42.5,0.142631279163495
42.6,0.146340738587691
42.7,0.150130360901476
42.8,0.154001415743101
42.9,0.157955180653183
43,0.1619929407923
43.1,0.166115988648578
43.2,0.170325623735717
43.3,0.174623152281014
43.4,0.179009886903456
43.5,0.183487146281993
43.6,0.188056254813745
43.7,0.192718542262277
43.8,0.197475343395795
43.9,0.202327997615505
44,0.207277848573762
44.1,0.2123262437824
44.2,0.217474534210874
44.3,0.222724073874609
44.4,0.228076219413364
44.5,0.233532329659544
44.6,0.239093765196914
44.7,0.244761887909179
44.8,0.250538060519056
44.9,0.256423646117538
45,0.26242000768346
45.1,0.268528507593701
45.2,0.274750507123813
45.3,0.2810873659392
45.4,0.2875404415773
45.5,0.29411108892035
45.6,0.300800659659335
45.7,0.307610501748893
45.8,0.31454195885365
45.9,0.321596369785772
46,0.328775067934185
46.1,0.336079380685519
46.2,0.343510628836896
46.3,0.351070126000924
46.4,0.358759178002759
46.5,0.36657908226987
46.6,0.374531127214442
46.7,0.38261659160859
46.8,0.390836743952783
46.9,0.39919284183782
47,0.407686131300117
47.1,0.416317846171192
47.2,0.425089207421173
47.3,0.434001422496756
47.4,0.44305568465395
47.5,0.452253172285712
47.6,0.461595048245147
47.7,0.471082459164102
47.8,0.4807165347679
47.9,0.490498387186306
48,0.500429110261094
48.1,0.510509778850758
48.2,0.520741448132344
48.3,0.531125152901189
48.4,0.54166190686869
48.5,0.55235270195858
48.6,0.563198507601883
48.7,0.574200270031513
48.8,0.585358911576146
48.9,0.596675329954513
49,0.608150397570007
49.1,0.619784960806333
49.2,0.631579839324477
49.3,0.64353582536167
49.4,0.655653683032467
49.5,0.667934147632662
49.6,0.680377924946394
49.7,0.692985690557011
49.8,0.705758089162064
49.9,0.718695733892823
50,0.731799205639262
50.1,0.745069052380391
50.2,0.758505788520885
50.3,0.772109894234308
50.4,0.785881814813492
50.5,0.799821960028767
50.6,0.813930703494085
50.7,0.828208382042161
50.8,0.842655295108749
50.9,0.857271704126602
51,0.872057831930021
51.1,0.887013862169932
51.2,0.902139938740598
51.3,0.917436165218141
51.4,0.932902604311648
51.5,0.948539277327117
51.6,0.964346163645126
51.7,0.980323200212634
51.8,0.996470281049218
51.9,1.01278725676866
52,1.02927393411641
52.1,1.045930075523
52.2,1.06275539867453
52.3,1.07974957610055
52.4,1.09691223477956
52.5,1.11424295576335
52.6,1.13174127382003
52.7,1.14940667709663
52.8,1.16723860680176
52.9,1.18523645690893
53,1.20339957388073
53.1,1.22172725641472
53.2,1.24021875521153
53.3,1.25887327276535
53.4,1.27768996317777
53.5,1.29666793199483
53.6,1.31580623606875
53.7,1.33510388344359
53.8,1.35455983326648
53.9,1.37417299572387
54,1.39394223200428
54.1,1.41386635428692
54.2,1.43394412575749
54.3,1.45417426065124
54.4,1.47455542432361
54.5,1.49508623334898
54.6,1.51576525564818
54.7,1.53659101064452
54.8,1.55756196944948
54.9,1.57867655507781
55,1.59993314269283
55.1,1.62133005988186
55.2,1.64286558696271
55.3,1.66453795732082
55.4,1.68634535777798
55.5,1.70828592899267
55.6,1.73035776589216
55.7,1.75255891813706
55.8,1.77488739061803
55.9,1.79734114398547
56,1.81991809521201
56.1,1.84261611818808
56.2,1.86543304435095
56.3,1.88836666334732
56.4,1.91141472372952
56.5,1.93457493368565
56.6,1.95784496180375
56.7,1.98122243787
56.8,2.00470495370147
56.9,2.02829006401276
57,2.0519752873176
57.1,2.07575810686451
57.2,2.09963597160731
57.3,2.12360629721011
57.4,2.14766646708679
57.5,2.17181383347542
57.6,2.19604571854691
57.7,2.22035941554843
57.8,2.24475218998136
57.9,2.26922128081359
58,2.29376390172631
58.1,2.31837724239499
58.2,2.34305846980476
58.3,2.36780472959937
58.4,2.39261314746475
58.5,2.41748083054564
58.6,2.44240486889624
58.7,2.46738233696415
58.8,2.49241029510738
58.9,2.51748579114446
59,2.54260586193727
59.1,2.56776753500632
59.2,2.59296783017814
59.3,2.61820376126489
59.4,2.64347233777528
59.5,2.66877056665718
59.6,2.69409545407086
59.7,2.71944400719326
59.8,2.74481323605237
59.9,2.77020015539154
60,2.79560178656379
60.1,2.82101515945467
60.2,2.84643731443448
60.3,2.87186530433859
60.4,2.89729619647589
60.5,2.92272707466461
60.6,2.9481550412954
60.7,2.97357721942085
60.8,2.99899075487137
60.9,3.02439281839673
61,3.0497806078326
61.1,3.07515135029213
61.2,3.10050230438148
61.3,3.12583076243918
61.4,3.15113405279872
61.5,3.17640954207374
61.6,3.2016546374654
61.7,3.22686678909124
61.8,3.25204349233544
61.9,3.27718229021924
62,3.30228077579164
62.1,3.32733659453941
62.2,3.35234744681591
62.3,3.37731109028862
62.4,3.4022253424039
62.5,3.42708808286966
62.6,3.45189725615418
62.7,3.47665087400128
62.8,3.50134701796127
62.9,3.52598384193661
63,3.5505595747424
63.1,3.5750725226808
63.2,3.59952107212867
63.3,3.62390369213852
63.4,3.64821893705165
63.5,3.67246544912329
63.6,3.69664196115921
63.7,3.7207472991631
63.8,3.74478038499475
63.9,3.7687402390379
64,3.7926259828778
64.1,3.81643684198817
64.2,3.84017214842629
64.3,3.86383134353695
64.4,3.88741398066417
64.5,3.91091972787027
64.6,3.93434837066267
64.7,3.95769981472709
64.8,3.98097408866766
64.9,4.00417134675345
65,4.02729187167074
65.1,4.05033607728162
65.2,4.073304511388
65.3,4.09619785850117
65.4,4.11901694261679
65.5,4.14176272999532
65.6,4.16443633194728
65.7,4.18703900762427
65.8,4.20957216681461
65.9,4.2320373727447
66,4.25443634488532
66.1,4.27677096176357
66.2,4.29904326378053
66.3,4.3212554560344
66.4,4.34340991114993
66.5,4.36550917211423
66.6,4.38755595511914
66.7,4.40955315241081
66.8,4.43150383514669
66.9,4.45341125626081
67,4.4752788533373
67.1,4.49711025149342
67.2,4.5189092662721
67.3,4.54067990654554
67.4,4.56242637742957
67.5,4.58415308321061
67.6,4.60586463028554
67.7,4.62756583011557
67.8,4.64926170219518
67.9,4.67095747703742
68,4.69265859917592
68.1,4.7143707301861
68.2,4.73609975172564
68.3,4.7578517685963
68.4,4.77963311182826
68.5,4.8014503417883
68.6,4.82331025131398
68.7,4.84521986887447
68.8,4.8671864617606
68.9,4.88921753930568
69,4.91132085613821
69.1,4.93350441546975
69.2,4.95577647241819
69.3,4.97814553737023
69.4,5.00062037938358
69.5,5.02321002963224
69.6,5.04592378489615
69.7,5.06877121109837
69.8,5.09176214689102
69.9,5.11490670729377
70,5.13821528738577
70.1,5.16169856605486
70.2,5.18536750980587
70.3,5.20923337663049
70.4,5.23330771994201
70.5,5.25760239257672
70.6,5.28212955086558
70.7,5.30690165877792
70.8,5.33193149214056
70.9,5.35723214293517
71,5.38281702367583
71.1,5.40869987187043
71.2,5.43489475456836
71.3,5.46141607299687
71.4,5.48827856728928
71.5,5.51549732130785
71.6,5.54308776756297
71.7,5.57106569223275
71.8,5.59944724028435
71.9,5.6282489207
72,5.65748761181014
72.1,5.68718056673591
72.2,5.71734541894326
72.3,5.74800018791049
72.4,5.77916328491173
72.5,5.81085351891756
72.6,5.84309010261514
72.7,5.87589265854841
72.8,5.9092812253809
72.9,5.94327626428103
73,5.97789866543175
73.1,6.01316975466473
73.2,6.04911130021964
73.3,6.08574551962877
73.4,6.1230950867267
73.5,6.16118313878496
73.6,6.20003328377046
73.7,6.23966960772697
73.8,6.28011668227852
73.9,6.3213995722521
74,6.36354384341845
74.1,6.40657557034749
74.2,6.45052134437646
74.3,6.49540828168597
74.4,6.54126403148126
74.5,6.5881167842737
74.6,6.6359952802576
74.7,6.6849288177771
74.8,6.73494726187707
74.9,6.78608105293171
75,6.83836121534319
75.1,6.8918193663034
75.2,6.94648772460981
75.3,7.00239911952698
75.4,7.05958699968378
75.5,7.11808544199627
75.6,7.17792916060524
75.7,7.23915351581664
75.8,7.30179452303277
75.9,7.36588886166086
76,7.43147388398584
76.1,7.49858762399153
76.2,7.5672688061163
76.3,7.63755685392611
76.4,7.70949189868863
76.5,7.78311478783013
76.6,7.85846709325724
76.7,7.93559111952426
76.8,8.01452991182491
76.9,8.0953272637895
77,8.17802772506377
77.1,8.26267660864782
77.2,8.3493199979721
77.3,8.43800475368526
77.4,8.52877852012941
77.5,8.62168973147673
77.6,8.71678761750124
77.7,8.81412220895719
77.8,8.9137443425369
77.9,9.01570566537809
78,9.12005863909141
78.1,9.22685654327731
78.2,9.3361534785005
78.3,9.44800436869056
78.4,9.56246496293491
78.5,9.67959183663163
78.6,9.79944239196646
78.7,9.92207485768026
78.8,10.0475482880906
78.9,10.175922561331
79,10.3072583767721
79.1,10.4416172515853
79.2,10.5790615164134
79.3,10.7196543101068
79.4,10.8634595734891
79.5,11.0105420421107
79.6,11.1609672379502
79.7,11.3148014600256
79.8,11.4721117738723
79.9,11.6329659998472
80,11.7974327002195
80.1,11.9655811650041
80.2,12.1374813964983
80.3,12.3132040924782
80.4,12.4928206280146
80.5,12.676403035864
80.6,12.8640239853965
80.7,13.0557567600149
80.8,13.2516752330266
80.9,13.4518538419241
81,13.6563675610353
81.1,13.8652918725007
81.2,14.0787027355392
81.3,14.2966765539599
81.4,14.5192901418824
81.5,14.7466206876269
81.6,14.9787457157341
81.7,15.2157430470791
81.8,15.457690757043
81.9,15.7046671317052
82,15.9567506220237
82.1,16.2140197959683
82.2,16.4765532885765
82.3,16.7444297498996
82.4,17.017727790811
82.5,17.2965259266485
82.6,17.5809025186643
82.7,17.8709357132591
82.8,18.1667033789771
82.9,18.4682830412429
83,18.7757518148204
83.1,19.0891863339802
83.2,19.4086626803593
83.3,19.7342563085047
83.4,20.0660419690919
83.5,20.4040936298126
83.6,20.7484843939298
83.7,21.0992864165018
83.8,21.4565708182783
83.9,21.8204075972773
84,22.1908655380534
84.1,22.5680121186737
84.2,22.95191341542
84.3,23.34263400524
84.4,23.7402368659775
84.5,24.144783274411
84.6,24.5563327021407
84.7,24.9749427093633
84.8,25.4006688365825
84.9,25.8335644943098
85,26.2736808508084
85.1,26.7210667179496
85.2,27.1757684352458
85.3,27.6378297521388
85.4,28.107291708625
85.5,28.5841925143024
85.6,29.0685674259385
85.7,29.5604486236583
85.8,30.0598650858595
85.9,30.5668424629752
86,31.0814029502026
86.1,31.603565159331
86.2,32.1333439898077
86.3,32.6707504991857
86.4,33.2157917731113
86.5,33.7684707950115
86.6,34.3287863156524
86.7,34.8967327227497
86.8,35.4722999108172
86.9,36.0554731514523
87,36.6462329642612
87.1,37.2445549886416
87.2,37.8504098566433
87.3,38.4637630671398
87.4,39.0845748615541
87.5,39.7128001013861
87.6,40.3483881478025
87.7,40.9912827435576
87.8,41.6414218975208
87.9,42.2987377720984
88,42.9631565738427
88.1,43.6345984475518
88.2,44.3129773741724
88.3,44.9982010728222
88.4,45.6901709072633
88.5,46.3887817971568
88.6,47.0939221344432
88.7,47.8054737051968
88.8,48.5233116173073
88.9,49.2473042343523
89,49.9773131160233
89.1,50.71319296548
89.2,51.4547915840043
89.3,52.2019498333342
89.4,52.9545016060593
89.5,53.7122738044595
89.6,54.4750863281724
89.7,55.2427520710725
89.8,56.0150769277465
89.9,56.7918598099458
90,57.5728926733949
90.1,58.3579605553308
90.2,59.1468416231403
90.3,59.9393072344603
90.4,60.7351220090934
90.5,61.534043913084
90.6,62.3358243552897
90.7,63.1402082967674
90.8,63.9469343732822
90.9,64.7557350312313
91,65.5663366772539
91.1,66.3784598417845
91.2,67.1918193567796
91.3,68.0061245478295
91.4,68.8210794408402
91.5,69.6363829834414
91.6,70.4517292812517
91.7,71.2668078490964
91.8,72.0813038772436
91.9,72.8948985126886
92,73.7072691554765
92.1,74.518089770018
92.2,75.3270312113082
92.3,76.1337615659166
92.4,76.9379465075717
92.5,77.7392496671137
92.6,78.5373330165435
92.7,79.3318572668407
92.8,80.122482279174
92.9,80.908867489073
93,81.690672343071
93.1,82.4675567472772
93.2,83.2391815272723
93.3,84.0052088986666
93.4,84.7653029475987
93.5,85.5191301203896
93.6,86.2663597215111
93.7,87.0066644189602
93.8,87.7397207560759
93.9,88.4652096687716
94,89.1828170070948
94.1,89.8922340599737
94.2,90.5931580819455
94.3,91.2852928206119
94.4,91.9683490435136
94.5,92.6420450630626
94.6,93.3061072581291
94.7,93.9602705908338
94.8,94.6042791170578
94.9,95.2378864891523
95,95.8608564492951
95.1,96.4729633119278
95.2,97.0739924336827
95.3,97.6637406692085
95.4,98.2420168112999
95.5,98.808642013747
95.6,99.3634501953426
95.7,99.9062884235142
95.8,100.437017276094
95.9,100.955511179802
96,101.461658724082
96.1,101.955362949051
96.2,102.436541606396
96.3,102.905127392248
96.4,103.361068151188
96.5,103.804327050781
96.6,104.234882726279
96.7,104.652729395447
96.8,105.057876943843
96.9,105.450350981391
97,105.830192871638
97.1,106.197459735896
97.2,106.552224435424
97.3,106.894575536111
97.4,107.224617261816
97.5,107.542469444874
97.6,107.848267485441
97.7,108.142162335867
97.8,108.424320532735
97.9,108.694924308586
98,108.954171829498
98.1,109.202277626267
98.2,109.43947332098
98.3,109.66600880596
98.4,109.882154124553
98.5,110.088202464267
98.6,110.284474965648
98.7,110.471328611017
98.8,110.649169599134
98.9,110.818477119341
99,110.979848493223
99.1,111.135026943306
99.2,111.293383490994
99.3,111.465115093795
99.4,111.668888288006
99.5,111.722104465845
99.6,111.773040013345
99.7,111.821759690929
99.8,111.868328069731
99.9,111.91280944944
100,111.955267778547
100.1,111.995766577131
100.2,112.034368862323
100.3,112.071137076577
100.4,112.106133018864
100.5,112.139417778897
100.6,112.171051674476
100.7,112.201094192052
100.8,112.229603930572
100.9,112.256638548666
101,112.282254715245
